sexo,remuneracao,cnae_secao,cbo_grupo,uf,idade,escolaridade,vinculo
Masculino,2367.5,J,Serviços,SC,26,Superior incompleto,CLT
Feminino,2883.19,B,Direção,GO,46,Fundamental incompleto,CLT
Masculino,1597.24,F,Direção,BA,42,Fundamental completo,CLT
Masculino,1962.6,B,Operacional,SP,28,Fundamental completo,Estatutário
Feminino,1000.86,I,Direção,PE,59,Fundamental completo,Aprendiz
Masculino,1924.43,B,Direção,DF,28,Médio incompleto,Aprendiz
Feminino,2262.33,F,Direção,RJ,23,Superior completo,CLT
Masculino,2280.78,H,Administração,SP,51,Fundamental incompleto,Temporário
Feminino,2920.3,F,Direção,RS,61,Fundamental incompleto,CLT
Feminino,1275.81,C,Direção,RJ,31,Fundamental completo,Temporário
Feminino,1422.72,E,Direção,SC,25,Fundamental incompleto,Aprendiz
Feminino,4242.8,D,Operacional,MG,42,Fundamental incompleto,Aprendiz
Masculino,1689.78,A,Serviços,DF,21,Médio incompleto,CLT
Feminino,1978.34,E,Direção,PE,48,Fundamental completo,Estatutário
Masculino,1754.34,J,Direção,BA,38,Fundamental incompleto,Aprendiz
Masculino,1249.18,E,Operacional,BA,62,Superior incompleto,Aprendiz
Masculino,3754.04,G,Serviços,BA,49,Fundamental completo,Aprendiz
Masculino,1425.87,G,Operacional,PR,31,Fundamental incompleto,Estatutário
Masculino,1088.68,B,Técnico,PE,45,Médio incompleto,Aprendiz
Feminino,1476.11,D,Técnico,RS,42,Superior completo,CLT
Masculino,734.53,A,Técnico,PR,45,Superior incompleto,Temporário
Feminino,1348.73,E,Direção,MG,32,Médio completo,Aprendiz
Feminino,1169.51,E,Operacional,MG,63,Médio completo,Aprendiz
Masculino,2387.12,D,Direção,RJ,61,Superior completo,Estatutário
Masculino,1335.37,J,Técnico,PR,39,Superior incompleto,Temporário
Masculino,2695.97,G,Serviços,RJ,64,Médio completo,Temporário
Masculino,3392.48,F,Serviços,GO,23,Pós-graduação,Estatutário
Masculino,2569.66,J,Operacional,RS,19,Superior incompleto,CLT
Masculino,1641.02,C,Serviços,GO,23,Pós-graduação,Aprendiz
Masculino,1926.58,B,Técnico,SP,40,Superior completo,Temporário
Feminino,910.28,D,Operacional,RJ,43,Pós-graduação,Temporário
Feminino,1702.41,I,Operacional,SP,28,Superior completo,CLT
Masculino,1227.58,J,Técnico,RJ,18,Fundamental incompleto,CLT
Feminino,2471.17,E,Técnico,RS,45,Médio completo,Aprendiz
Masculino,5754.51,A,Técnico,SP,39,Médio completo,Estatutário
Masculino,2264.07,C,Técnico,SC,58,Superior incompleto,Estatutário
Feminino,738.03,I,Operacional,SP,30,Fundamental incompleto,CLT
Masculino,1536.78,G,Serviços,MG,58,Fundamental incompleto,CLT
Masculino,1910.5,C,Técnico,RJ,64,Fundamental completo,Temporário
Feminino,1880.53,A,Administração,RJ,53,Fundamental completo,CLT
Feminino,1301.32,D,Operacional,RS,39,Fundamental incompleto,Temporário
Feminino,2019.05,I,Direção,DF,21,Superior completo,Estatutário
Feminino,1033.67,G,Serviços,MG,61,Superior completo,Estatutário
Feminino,1181.8,E,Operacional,SC,58,Superior completo,Temporário
Masculino,2417.79,F,Técnico,GO,35,Superior incompleto,Aprendiz
Masculino,1144.76,A,Administração,MG,55,Médio incompleto,Estatutário
Masculino,2303.52,G,Direção,GO,34,Médio incompleto,Aprendiz
Masculino,976.27,E,Serviços,PR,42,Fundamental completo,Temporário
Masculino,4000.49,G,Técnico,DF,34,Médio completo,Aprendiz
Masculino,1276.12,E,Operacional,MG,46,Médio incompleto,Temporário
Feminino,1634.92,E,Operacional,PE,62,Médio completo,Temporário
Feminino,2098.08,C,Serviços,SC,61,Médio completo,CLT
Feminino,1401.91,E,Administração,PE,63,Pós-graduação,Estatutário
Masculino,1928.57,H,Técnico,RJ,25,Superior completo,Estatutário
Feminino,2342.35,H,Serviços,DF,46,Superior completo,Temporário
Masculino,2785.76,B,Serviços,SP,32,Superior completo,Aprendiz
Feminino,2581.62,A,Operacional,MG,58,Fundamental incompleto,CLT
Masculino,1673.52,B,Serviços,RS,50,Médio incompleto,Aprendiz
Feminino,1692.59,G,Direção,SC,27,Médio incompleto,Estatutário
Masculino,5203.56,C,Direção,RS,54,Médio completo,Aprendiz
Feminino,2772.35,H,Técnico,RJ,28,Médio completo,CLT
Feminino,1194.14,D,Serviços,MG,52,Superior completo,Aprendiz
Masculino,1891.25,J,Operacional,MG,51,Fundamental incompleto,Estatutário
Masculino,1554.93,J,Técnico,SC,49,Superior completo,Temporário
Feminino,1701.22,H,Administração,PR,39,Superior incompleto,Estatutário
Masculino,1039.74,B,Operacional,PR,21,Médio incompleto,CLT
Feminino,1502.12,E,Administração,RS,19,Superior completo,Temporário
Feminino,4085.5,F,Técnico,RS,50,Superior completo,CLT
Masculino,2346.28,A,Direção,DF,26,Médio incompleto,Estatutário
Masculino,589.32,A,Operacional,BA,52,Fundamental incompleto,Aprendiz
Masculino,3126.05,I,Operacional,PE,55,Fundamental incompleto,Estatutário
Feminino,2952.28,E,Técnico,RS,48,Pós-graduação,Aprendiz
Masculino,1538.13,D,Operacional,MG,31,Superior incompleto,Temporário
Masculino,2496.81,A,Operacional,SP,48,Médio completo,Aprendiz
Masculino,1228.16,C,Técnico,DF,50,Médio incompleto,Aprendiz
Feminino,1463.21,D,Serviços,DF,61,Médio completo,Temporário
Feminino,3548.73,E,Técnico,RJ,33,Médio incompleto,CLT
Feminino,1599.94,J,Operacional,RS,37,Pós-graduação,Temporário
Masculino,779.48,E,Técnico,RS,31,Fundamental incompleto,CLT
Feminino,1757.26,J,Operacional,SP,52,Superior completo,Temporário
Feminino,1745.22,H,Administração,RJ,63,Pós-graduação,Aprendiz
Feminino,3100.34,C,Administração,PE,62,Fundamental incompleto,Estatutário
Feminino,1819.74,G,Direção,SC,50,Pós-graduação,Aprendiz
Masculino,1495.61,F,Técnico,SP,46,Fundamental incompleto,CLT
Masculino,2893.65,J,Técnico,BA,25,Pós-graduação,Estatutário
Feminino,1909.04,J,Administração,BA,51,Superior incompleto,Aprendiz
Masculino,1290.12,J,Administração,SC,64,Pós-graduação,Aprendiz
Feminino,3040.41,F,Administração,PE,31,Médio incompleto,Estatutário
Feminino,1972.68,J,Direção,PR,31,Pós-graduação,Aprendiz
Masculino,1810.42,I,Direção,RJ,32,Fundamental incompleto,CLT
Feminino,1958.74,G,Serviços,RS,59,Superior completo,Temporário
Masculino,1116.77,G,Técnico,PE,37,Pós-graduação,CLT
Masculino,1425.9,A,Direção,PE,45,Superior incompleto,Aprendiz
Feminino,1810.96,A,Operacional,PR,21,Médio completo,Estatutário
Feminino,1656.4,I,Técnico,SC,24,Superior incompleto,Estatutário
Masculino,3205.4,I,Serviços,DF,19,Superior incompleto,Estatutário
Masculino,1993.87,J,Administração,GO,26,Fundamental completo,Aprendiz
Feminino,2656.35,C,Serviços,GO,40,Médio completo,Estatutário
Feminino,1815.7,H,Técnico,GO,53,Fundamental completo,CLT
Feminino,2908.32,I,Administração,RJ,29,Superior completo,CLT
Masculino,2162.21,A,Serviços,PR,40,Pós-graduação,Aprendiz
Masculino,1818.99,C,Serviços,DF,48,Médio incompleto,CLT
Masculino,1797.27,F,Técnico,MG,59,Superior incompleto,CLT
Feminino,1176.74,D,Direção,SC,28,Superior incompleto,Estatutário
Masculino,2271.31,H,Operacional,RS,18,Pós-graduação,Temporário
Masculino,1775.63,I,Serviços,RS,30,Superior incompleto,CLT
Feminino,1442.46,G,Operacional,MG,56,Superior incompleto,Aprendiz
Masculino,2974.73,A,Técnico,GO,46,Fundamental completo,Estatutário
Feminino,1030.09,B,Técnico,SP,23,Médio incompleto,CLT
Feminino,1494.99,A,Direção,PE,48,Fundamental completo,Aprendiz
Feminino,2871.17,I,Administração,PR,26,Superior incompleto,Aprendiz
Masculino,2083.88,D,Operacional,RJ,35,Médio incompleto,Estatutário
Masculino,1769.52,J,Serviços,SP,20,Médio completo,Aprendiz
Feminino,2024.24,H,Administração,SP,49,Fundamental completo,Temporário
Feminino,1960.07,E,Operacional,RS,62,Pós-graduação,Temporário
Feminino,913.7,E,Operacional,RS,20,Fundamental incompleto,CLT
Masculino,1545.08,E,Administração,SC,62,Médio completo,Temporário
Feminino,3742.22,E,Administração,BA,47,Médio completo,Estatutário
Feminino,1343.86,C,Direção,SP,23,Superior incompleto,Estatutário
Feminino,1566.76,F,Serviços,GO,44,Superior incompleto,CLT
Feminino,1416.96,A,Serviços,RJ,19,Médio completo,Temporário
Feminino,1738.61,H,Serviços,MG,37,Pós-graduação,Aprendiz
Feminino,1390.74,D,Administração,DF,34,Pós-graduação,Aprendiz
Masculino,2250.78,F,Direção,RS,50,Fundamental completo,Temporário
Masculino,1975.92,B,Técnico,SC,34,Médio incompleto,Estatutário
Masculino,2560.85,B,Direção,RJ,54,Fundamental completo,Estatutário
Masculino,1126.73,H,Administração,RJ,46,Fundamental completo,Estatutário
Masculino,1551.3,A,Direção,RJ,26,Médio completo,Estatutário
Masculino,1633.41,H,Administração,PR,21,Fundamental completo,Temporário
Masculino,2219.51,J,Operacional,DF,63,Pós-graduação,CLT
Masculino,1265.28,J,Operacional,SC,57,Médio incompleto,Temporário
Feminino,2729.97,A,Técnico,DF,30,Pós-graduação,Temporário
Feminino,3083.7,I,Operacional,SC,23,Médio completo,Estatutário
Masculino,1158.65,A,Técnico,DF,63,Fundamental completo,Estatutário
Feminino,1449.69,D,Serviços,PR,26,Superior incompleto,Estatutário
Masculino,1423.15,I,Administração,SP,43,Superior completo,CLT
Masculino,5911.02,A,Serviços,SC,56,Fundamental completo,CLT
Masculino,1490.02,I,Serviços,RS,58,Superior completo,Estatutário
Masculino,3846.55,H,Técnico,DF,64,Pós-graduação,Estatutário
Feminino,1022.51,E,Administração,SC,59,Superior completo,Temporário
Feminino,1158.24,F,Técnico,SP,31,Superior completo,Temporário
Masculino,1327.47,E,Direção,SC,51,Médio completo,Temporário
Masculino,1235.76,D,Serviços,MG,21,Médio completo,Estatutário
Masculino,1602.7,J,Administração,MG,38,Superior completo,Temporário
Masculino,1314.29,D,Serviços,BA,48,Superior incompleto,Aprendiz
Masculino,1250.5,J,Direção,RJ,64,Médio completo,CLT
Masculino,3045.17,H,Direção,DF,60,Pós-graduação,Temporário
Feminino,3136.01,H,Administração,DF,38,Superior completo,CLT
Feminino,2771.61,I,Administração,BA,60,Superior completo,Temporário
Masculino,2288.84,C,Direção,DF,46,Fundamental incompleto,CLT
Feminino,1885.1,J,Serviços,SC,41,Pós-graduação,Estatutário
Masculino,1445.68,H,Operacional,DF,62,Médio completo,Aprendiz
Masculino,1177.42,C,Serviços,GO,33,Fundamental completo,CLT
Masculino,2128.87,B,Operacional,RJ,26,Médio incompleto,Temporário
Feminino,1066.21,B,Técnico,PR,38,Fundamental completo,Estatutário
Feminino,1156.02,I,Administração,SC,19,Médio completo,Aprendiz
Feminino,3037.56,D,Direção,SC,19,Superior completo,Estatutário
Masculino,4252.63,E,Técnico,RS,54,Pós-graduação,Estatutário
Feminino,2158.1,B,Serviços,RS,54,Fundamental incompleto,CLT
Masculino,2974.72,I,Operacional,PR,22,Fundamental completo,Aprendiz
Feminino,1618.68,G,Administração,SC,63,Médio incompleto,Estatutário
Masculino,990.34,C,Operacional,PE,23,Superior completo,Temporário
Masculino,2381.48,F,Serviços,GO,25,Fundamental completo,Estatutário
Feminino,2335.96,G,Serviços,SP,49,Superior incompleto,Temporário
Feminino,1867.3,F,Direção,PE,54,Fundamental incompleto,Estatutário
Masculino,1621.21,J,Técnico,RJ,30,Médio completo,Aprendiz
Feminino,2787.76,J,Administração,BA,20,Pós-graduação,Aprendiz
Masculino,1160.28,F,Direção,RS,26,Fundamental completo,Aprendiz
Feminino,1276.4,H,Operacional,PE,21,Fundamental completo,CLT
Feminino,1148.66,H,Técnico,SC,45,Pós-graduação,Estatutário
Feminino,1878.52,E,Administração,PR,57,Fundamental completo,Aprendiz
Feminino,1108.15,D,Operacional,GO,33,Fundamental completo,Temporário
Masculino,1328.88,E,Administração,GO,28,Médio incompleto,Temporário
Masculino,1316.08,I,Administração,PR,36,Superior incompleto,Estatutário
Feminino,1607.97,J,Técnico,RS,59,Superior completo,Aprendiz
Masculino,925.82,F,Operacional,MG,39,Superior incompleto,CLT
Masculino,1880.4,C,Direção,MG,56,Fundamental incompleto,Aprendiz
Masculino,3169.37,C,Direção,MG,29,Fundamental incompleto,Estatutário
Masculino,1921.71,A,Direção,BA,47,Médio incompleto,CLT
Feminino,3617.7,E,Administração,PE,57,Pós-graduação,Temporário
Masculino,3295.45,F,Serviços,PE,59,Pós-graduação,Aprendiz
Feminino,2565.68,H,Técnico,RJ,22,Superior incompleto,Aprendiz
Masculino,1869.84,I,Direção,MG,54,Fundamental incompleto,Temporário
Masculino,1826.44,G,Técnico,RJ,62,Médio completo,Estatutário
Masculino,2549.65,A,Administração,SC,49,Superior incompleto,CLT
Masculino,1515.88,G,Técnico,MG,51,Fundamental completo,Temporário
Masculino,775.0,J,Direção,SC,29,Superior incompleto,CLT
Feminino,2256.12,I,Direção,RS,60,Médio completo,Estatutário
Masculino,1086.83,D,Administração,GO,19,Fundamental completo,CLT
Feminino,1172.67,G,Administração,GO,64,Superior incompleto,CLT
Masculino,1808.22,I,Operacional,SC,24,Fundamental completo,Aprendiz
Masculino,1732.28,A,Administração,MG,49,Fundamental completo,Temporário
Feminino,957.73,J,Serviços,PR,57,Médio incompleto,CLT
Masculino,1947.83,I,Serviços,PE,52,Médio completo,CLT
Masculino,2792.7,D,Direção,MG,23,Médio incompleto,Temporário
Masculino,1088.16,H,Administração,DF,39,Superior incompleto,Temporário
Masculino,3205.48,C,Serviços,DF,42,Pós-graduação,Estatutário
Feminino,895.98,B,Serviços,BA,64,Superior completo,Temporário
Masculino,4688.16,H,Operacional,PE,30,Pós-graduação,CLT
Feminino,1502.57,H,Administração,DF,40,Pós-graduação,Aprendiz
Feminino,1930.49,C,Operacional,SP,62,Fundamental completo,Estatutário
Masculino,771.69,H,Técnico,BA,61,Superior incompleto,Temporário
Feminino,1758.19,F,Operacional,GO,63,Superior incompleto,Temporário
Masculino,2003.83,J,Técnico,MG,26,Superior completo,Temporário
Feminino,1739.28,I,Técnico,SC,59,Médio incompleto,Estatutário
Masculino,1403.34,J,Administração,DF,54,Superior incompleto,Estatutário
Feminino,1180.92,F,Técnico,GO,54,Médio completo,Temporário
Masculino,3007.12,H,Técnico,PE,47,Fundamental completo,Estatutário
Masculino,1833.28,B,Operacional,RJ,37,Fundamental incompleto,Aprendiz
Feminino,3616.78,A,Administração,RS,55,Superior completo,CLT
Feminino,1426.65,J,Administração,PR,61,Médio completo,Aprendiz
Masculino,1486.74,J,Técnico,GO,33,Pós-graduação,CLT
Masculino,2609.77,B,Operacional,SC,39,Fundamental incompleto,Estatutário
Feminino,871.02,D,Operacional,BA,55,Superior completo,Temporário
Feminino,1047.27,J,Operacional,RS,27,Fundamental incompleto,Estatutário
Feminino,2962.74,I,Operacional,RS,37,Médio incompleto,Aprendiz
Feminino,1067.03,G,Direção,PR,58,Fundamental incompleto,Aprendiz
Feminino,797.46,I,Técnico,DF,19,Fundamental completo,Estatutário
Feminino,4191.6,I,Técnico,DF,20,Médio incompleto,Temporário
Masculino,965.63,I,Técnico,SP,59,Médio completo,Temporário
Masculino,1964.23,H,Administração,PR,25,Médio completo,CLT
Feminino,1865.13,F,Administração,PR,26,Médio completo,Aprendiz
Feminino,510.41,J,Operacional,BA,45,Superior completo,CLT
Masculino,1603.12,G,Administração,PE,38,Pós-graduação,Estatutário
Masculino,2212.3,B,Serviços,MG,50,Superior incompleto,CLT
Feminino,2120.57,A,Técnico,SP,51,Pós-graduação,Temporário
Masculino,2715.1,E,Técnico,RJ,21,Médio incompleto,Aprendiz
Masculino,1518.73,H,Direção,SC,42,Médio incompleto,Temporário
Masculino,2491.47,C,Direção,SC,49,Médio incompleto,CLT
Masculino,1325.84,G,Serviços,PR,29,Fundamental completo,Estatutário
Masculino,958.42,E,Direção,PR,19,Médio incompleto,CLT
Masculino,1008.3,J,Operacional,DF,64,Fundamental completo,Temporário
Masculino,936.41,H,Operacional,BA,29,Superior completo,Aprendiz
Feminino,2847.83,F,Técnico,SC,63,Médio completo,CLT
Masculino,914.56,F,Operacional,BA,43,Superior incompleto,Aprendiz
Feminino,2045.34,G,Direção,MG,38,Fundamental incompleto,Aprendiz
Feminino,1604.13,G,Serviços,BA,61,Pós-graduação,CLT
Masculino,1726.43,D,Operacional,MG,54,Pós-graduação,Temporário
Feminino,3339.66,J,Técnico,PE,53,Superior incompleto,Estatutário
Masculino,1484.31,J,Técnico,GO,35,Superior incompleto,Temporário
Feminino,2380.87,J,Direção,GO,41,Superior completo,CLT
Masculino,1838.86,H,Operacional,DF,47,Pós-graduação,Aprendiz
Feminino,1688.49,F,Direção,MG,34,Superior incompleto,Temporário
Feminino,5089.76,H,Técnico,BA,33,Fundamental incompleto,Estatutário
Masculino,945.2,G,Serviços,PE,59,Fundamental completo,Aprendiz
Masculino,3229.59,A,Operacional,MG,34,Médio completo,Estatutário
Feminino,2429.36,D,Serviços,SC,61,Superior completo,Aprendiz
Feminino,1457.12,G,Operacional,BA,29,Fundamental incompleto,Estatutário
Masculino,3763.83,I,Técnico,RS,44,Pós-graduação,Estatutário
Feminino,787.1,B,Operacional,SC,21,Médio completo,CLT
Masculino,1429.68,E,Técnico,BA,52,Fundamental completo,CLT
Feminino,1049.62,I,Administração,BA,18,Médio completo,Aprendiz
Masculino,2176.42,I,Técnico,SP,29,Fundamental completo,CLT
Feminino,1095.67,F,Técnico,RJ,46,Pós-graduação,CLT
Masculino,2197.07,G,Operacional,SP,25,Fundamental incompleto,Estatutário
Masculino,1662.54,I,Serviços,DF,25,Fundamental incompleto,Aprendiz
Masculino,1457.23,J,Técnico,BA,29,Pós-graduação,Estatutário
Masculino,2153.59,H,Operacional,BA,53,Pós-graduação,CLT
Masculino,1602.18,J,Técnico,MG,51,Médio completo,CLT
Masculino,1107.78,F,Direção,PR,53,Superior completo,Temporário
Feminino,6378.05,F,Direção,RJ,21,Médio completo,Estatutário
Masculino,1452.11,G,Direção,PR,28,Superior incompleto,CLT
Masculino,666.52,G,Direção,PE,20,Superior incompleto,Aprendiz
Masculino,1237.76,B,Serviços,GO,27,Médio completo,Aprendiz
Masculino,1022.21,I,Técnico,MG,29,Superior incompleto,CLT
Masculino,2622.19,D,Direção,RS,26,Pós-graduação,CLT
Masculino,2089.63,J,Operacional,PE,38,Médio completo,CLT
Masculino,2163.37,I,Direção,RJ,51,Médio incompleto,Aprendiz
Masculino,1530.71,J,Administração,SP,39,Superior incompleto,CLT
Masculino,1594.46,C,Administração,MG,35,Pós-graduação,Estatutário
Feminino,1530.09,E,Serviços,RJ,61,Médio completo,Temporário
Masculino,1743.17,E,Administração,GO,23,Médio incompleto,Temporário
Masculino,2633.05,G,Operacional,RJ,42,Pós-graduação,Temporário
Feminino,2103.24,D,Direção,RS,62,Superior incompleto,Estatutário
Masculino,2264.37,D,Administração,SC,32,Fundamental incompleto,CLT
Feminino,2263.8,A,Administração,GO,18,Médio completo,Temporário
Masculino,2691.89,F,Serviços,GO,57,Fundamental incompleto,Aprendiz
Feminino,2058.37,D,Administração,PR,35,Superior completo,CLT
Feminino,2124.9,J,Direção,RS,61,Superior incompleto,Aprendiz
Masculino,3087.02,J,Técnico,PE,48,Superior completo,Temporário
Feminino,1340.41,E,Direção,PR,37,Médio incompleto,Estatutário
Masculino,1230.18,I,Administração,RJ,61,Médio completo,Temporário
Masculino,1060.33,D,Administração,RS,42,Médio incompleto,Temporário
Feminino,1963.16,A,Administração,BA,50,Pós-graduação,CLT
Feminino,785.11,I,Serviços,RS,27,Fundamental incompleto,CLT
Masculino,2226.02,E,Operacional,SC,46,Médio completo,Temporário
Masculino,1721.35,J,Direção,RJ,36,Superior completo,Estatutário
Masculino,3012.69,G,Administração,DF,45,Fundamental incompleto,Aprendiz
Masculino,1336.27,C,Técnico,RS,44,Fundamental incompleto,Aprendiz
Feminino,1649.96,D,Serviços,SP,36,Médio incompleto,Estatutário
Masculino,2995.87,J,Operacional,MG,60,Superior completo,CLT
Masculino,3369.13,I,Administração,BA,48,Superior incompleto,Temporário
Masculino,1331.33,J,Direção,GO,52,Superior completo,Temporário
Masculino,1962.16,A,Técnico,DF,31,Fundamental incompleto,Temporário
Masculino,2064.18,E,Serviços,SC,23,Pós-graduação,Aprendiz
Feminino,2139.11,H,Direção,RS,26,Fundamental incompleto,Estatutário
Feminino,1606.54,J,Direção,RJ,58,Fundamental completo,Estatutário
Feminino,3218.34,G,Serviços,DF,44,Médio incompleto,Temporário
Masculino,772.5,D,Direção,PE,34,Fundamental incompleto,Temporário
Feminino,1495.91,G,Técnico,BA,53,Superior completo,Estatutário
Feminino,2211.82,A,Técnico,RJ,21,Fundamental completo,Aprendiz
Feminino,2221.09,F,Direção,RJ,41,Pós-graduação,CLT
Masculino,3323.39,I,Administração,PE,33,Médio incompleto,Temporário
Masculino,3100.14,C,Direção,DF,34,Médio completo,Estatutário
Masculino,1590.03,D,Administração,DF,20,Superior incompleto,Aprendiz
Masculino,3245.23,H,Direção,PE,56,Médio incompleto,CLT
Masculino,1311.18,E,Operacional,SP,54,Fundamental incompleto,Estatutário
Masculino,2748.74,E,Técnico,PR,20,Fundamental completo,Temporário
Masculino,4083.6,A,Direção,BA,61,Pós-graduação,Estatutário
Feminino,3123.55,F,Técnico,GO,58,Fundamental completo,Aprendiz
Masculino,1896.18,B,Serviços,SC,52,Médio completo,Temporário
Masculino,1557.29,A,Operacional,SP,20,Fundamental completo,Estatutário
Feminino,908.81,F,Administração,GO,33,Fundamental incompleto,Estatutário
Feminino,2079.21,E,Serviços,SC,37,Médio incompleto,Temporário
Feminino,1094.61,E,Operacional,RS,62,Médio completo,Temporário
Feminino,1265.33,I,Serviços,MG,23,Superior incompleto,Aprendiz
Masculino,1058.03,J,Técnico,RS,50,Pós-graduação,Temporário
Feminino,1469.71,J,Operacional,PE,60,Superior incompleto,Aprendiz
Masculino,1785.43,C,Serviços,SC,44,Fundamental incompleto,Estatutário
Masculino,2044.95,A,Administração,DF,47,Médio completo,Temporário
Masculino,1379.91,H,Operacional,PR,52,Médio completo,Aprendiz
Masculino,2925.37,E,Operacional,DF,35,Fundamental incompleto,Estatutário
Masculino,1646.34,E,Serviços,RS,47,Superior completo,CLT
Feminino,1268.42,H,Direção,RS,60,Médio completo,Estatutário
Feminino,2001.86,H,Administração,SC,43,Pós-graduação,Temporário
Feminino,4374.72,B,Administração,GO,32,Fundamental completo,Aprendiz
Masculino,2102.37,C,Serviços,BA,49,Fundamental completo,CLT
Feminino,1535.66,J,Técnico,RJ,52,Fundamental incompleto,Aprendiz
Feminino,909.27,J,Técnico,RS,29,Fundamental incompleto,Aprendiz
Masculino,1638.05,A,Direção,PE,38,Fundamental completo,CLT
Feminino,2009.65,C,Direção,DF,29,Médio incompleto,CLT
Masculino,1518.67,D,Serviços,PR,18,Fundamental incompleto,Aprendiz
Masculino,854.55,G,Técnico,SC,28,Fundamental completo,Temporário
Feminino,1233.05,I,Administração,GO,42,Médio incompleto,CLT
Masculino,3479.15,E,Técnico,BA,64,Médio incompleto,Temporário
Masculino,3447.14,A,Serviços,BA,26,Superior completo,CLT
Feminino,1213.19,B,Técnico,MG,56,Fundamental completo,Aprendiz
Feminino,2447.3,J,Operacional,RJ,60,Pós-graduação,CLT
Masculino,1063.84,B,Serviços,GO,44,Pós-graduação,Aprendiz
Masculino,3401.4,I,Operacional,PE,46,Superior completo,CLT
Masculino,2019.0,J,Serviços,DF,44,Fundamental completo,CLT
Feminino,2772.04,G,Administração,PE,45,Médio completo,CLT
Masculino,835.65,B,Serviços,PE,56,Médio incompleto,Estatutário
Masculino,2452.68,A,Serviços,RJ,35,Superior incompleto,CLT
Feminino,1801.81,E,Serviços,RS,32,Médio completo,Estatutário
Masculino,2652.79,A,Serviços,SC,33,Médio completo,Temporário
Masculino,2729.0,I,Direção,PE,64,Médio incompleto,Temporário
Masculino,1862.37,C,Operacional,RJ,40,Pós-graduação,CLT
Feminino,1379.71,B,Serviços,PE,47,Médio incompleto,Temporário
Masculino,2567.95,F,Serviços,SP,53,Médio incompleto,CLT
Masculino,1759.76,C,Direção,SC,52,Fundamental incompleto,Estatutário
Feminino,1220.78,E,Técnico,PE,45,Fundamental completo,Temporário
Masculino,1195.04,J,Direção,PE,63,Pós-graduação,Aprendiz
Masculino,930.09,H,Direção,BA,20,Superior completo,CLT
Masculino,1437.08,J,Direção,BA,33,Fundamental completo,CLT
Masculino,2969.69,B,Serviços,GO,32,Fundamental completo,Temporário
Masculino,1958.67,E,Direção,DF,36,Médio incompleto,Temporário
Masculino,1424.54,H,Direção,RJ,27,Médio completo,Temporário
Masculino,2597.19,A,Direção,SP,21,Médio incompleto,CLT
Masculino,1243.13,J,Serviços,RJ,39,Médio incompleto,Aprendiz
Feminino,1887.31,J,Administração,MG,35,Médio completo,CLT
Feminino,1667.64,D,Administração,DF,39,Superior incompleto,CLT
Feminino,2567.3,E,Técnico,GO,59,Superior completo,Estatutário
Feminino,889.13,J,Serviços,BA,33,Fundamental incompleto,CLT
Masculino,1233.25,C,Direção,PR,20,Superior incompleto,CLT
Feminino,865.05,B,Direção,PR,61,Médio incompleto,CLT
Masculino,1608.7,C,Direção,SC,52,Fundamental completo,Aprendiz
Feminino,3118.61,E,Administração,RJ,58,Fundamental completo,Temporário
Feminino,1440.22,G,Direção,SP,56,Médio completo,CLT
Feminino,1436.83,B,Direção,SP,33,Médio incompleto,Estatutário
Feminino,2676.53,G,Administração,MG,38,Pós-graduação,Estatutário
Feminino,2924.41,F,Direção,SP,38,Médio completo,Temporário
Masculino,1737.4,G,Técnico,DF,18,Médio completo,Estatutário
Masculino,2460.5,G,Operacional,GO,47,Fundamental incompleto,Estatutário
Feminino,1113.62,I,Técnico,PR,64,Médio completo,Aprendiz
Masculino,3361.32,G,Serviços,DF,51,Médio incompleto,CLT
Feminino,4754.84,F,Técnico,PR,56,Fundamental incompleto,CLT
Feminino,2285.97,J,Técnico,SP,63,Fundamental completo,CLT
Masculino,707.72,H,Administração,BA,40,Fundamental incompleto,CLT
Feminino,1406.41,G,Serviços,BA,51,Médio incompleto,CLT
Feminino,2382.18,F,Técnico,RS,47,Superior completo,Estatutário
Feminino,1495.67,D,Operacional,MG,50,Superior incompleto,Aprendiz
Feminino,3205.07,G,Técnico,SP,33,Fundamental incompleto,CLT
Masculino,2355.88,H,Direção,BA,58,Superior completo,Estatutário
Feminino,1315.65,H,Administração,PR,47,Superior incompleto,Temporário
Feminino,1834.49,D,Direção,GO,20,Fundamental incompleto,Estatutário
Masculino,1209.27,J,Serviços,SP,62,Fundamental incompleto,Aprendiz
Masculino,1665.43,I,Serviços,SP,19,Médio completo,CLT
Feminino,1408.71,C,Administração,MG,43,Pós-graduação,CLT
Masculino,3067.58,I,Técnico,MG,35,Pós-graduação,CLT
Feminino,4685.39,C,Serviços,RJ,19,Pós-graduação,Aprendiz
Feminino,949.53,G,Operacional,PE,57,Superior incompleto,Temporário
Masculino,760.94,D,Administração,PE,20,Superior completo,Temporário
Feminino,1619.18,E,Direção,SC,34,Superior incompleto,Estatutário
Feminino,912.98,C,Operacional,PR,41,Fundamental incompleto,Estatutário
Masculino,1846.03,B,Administração,SC,19,Médio incompleto,CLT
Masculino,2532.65,H,Operacional,SP,23,Médio incompleto,CLT
Masculino,3541.71,G,Administração,RJ,57,Superior incompleto,CLT
Masculino,1979.56,G,Direção,BA,43,Médio completo,Estatutário
Feminino,1657.52,H,Técnico,SP,23,Médio completo,CLT
Masculino,742.28,A,Administração,PE,29,Médio incompleto,Estatutário
